movieId,imdbId,tmdbId
182439,323108,34648
665,114787,11902
202271,7735502,555561
174679,4126694,416691
133745,117439,51268
232429,10053944,626036
107274,1764275,127913
111854,69516,120653
3728,102592,21128
113549,65522,56354
190203,5634088,399169
2220,20142,20213
182055,37625,53916
138190,2375671,321919
273809,12412166,756681
187679,82962,55528
164757,4526950,344123
256091,315957,347480
139998,86841,6979
218155,30612,236191
157361,5278506,373072
176595,3774866,407390
174235,90474,67488
106072,1981115,76338
160535,1388369,274266
127180,2044056,125336
206957,7210426,484751
139913,3667648,298614
222352,5015534,628987
144920,1536374,109894
272329,13691036,841764
225914,6425770,590019
179853,3037336,322796
224370,6851966,520335
157951,96857,4366
104920,270053,57892
26710,100911,31923
1101,92099,744
157809,1728601,87636
145452,77736,127744
123190,1213856,21795
75823,90866,26558
148097,1386486,48845
186867,7688694,490855
192541,134786,141331
160968,2821660,303497
225159,10510736,512229
61075,974554,11671
86518,3419,28627
125281,46515,37408
132253,1510983,134693
211638,968249,127302
216404,244624,187915
100725,489342,55204
130024,40794,3471
192861,2948160,432579
52838,756729,13574
187999,78348,65716
230561,209224,48206
34336,417001,11648
160858,72239,110412
263125,8631432,881316
48713,835046,
283935,244296,47271
168284,79593,256166
56286,368794,3902
217266,2173222,273682
272293,417271,410507
225387,11013434,669664
115939,444845,61495
132368,2160163,94205
169284,441889,102032
219996,1566503,118148
275631,241874,55556
262043,12295244,885683
280830,228380,270729
277032,439806,40406
104312,1538403,123553
165551,3741834,334543
282863,22184976,1029119
155469,27814,372481
158819,5070196,369052
129781,2667918,259956
163222,27909,404235
74370,1172994,25983
272457,9826484,570269
237063,32192,292632
88466,783695,22093
229881,1227135,222063
224336,5183500,464738
291721,7400426,505753
244742,120041,99036
46115,179182,18553
156137,1822239,81670
286145,275008,655651
162028,31464,92420
280760,191604,147607
141387,54350,206461
1583,120133,17834
907,25164,28288
101498,1964624,121875
184493,3534294,456022
153428,1023446,270936
6442,103791,2470
212891,9260636,563309
143249,4074502,295317
144378,969268,104176
252910,6866712,486390
169544,4286086,323688
165593,49030,107443
182783,7048622,468284
5063,55257,18647
127272,142634,80346
98619,2069830,288168
2313,80678,1955
118782,340110,15603
137238,44085,152266
248932,61056,149460
235377,328757,57748
254730,826570,79880
209633,1013608,242099
105353,205011,77776
278300,14550172,764393
215377,3748918,366171
70423,90185,45999
53519,1028528,1991
48059,64107,15374
235521,107141,291994
169290,871020,17469
168530,5271772,394723
242514,22863,220204
166005,5091538,392142
97306,1931533,86838
173753,74123,11512
128966,67123,70322
65878,287140,27447
289855,29573,155532
3793,120903,36657
207489,95856,263362
268648,58758,55752
186445,378786,223554
168246,2278870,401222
6695,301470,11351
97254,59709,109600
5644,35211,19140
124875,102174,226251
186249,6063050,464502
205967,80717,71518
213255,4190832,399875
275305,13317320,799288
158992,44476,62006
217431,1441259,21187
219533,8730716,531634
124957,997138,140509
280964,21867370,736820
77143,38390,31561
290715,54705,116705
186929,114862,82258
122431,58216,56530
135338,54023,63643
230885,8722624,665894
26796,105682,48150
199175,5792468,480733
249174,4208660,322124
231275,4489624,506612
99893,834938,79983
254825,13845504,779001
139893,3861006,270842
81585,33110,43819
137,113756,5757
177559,361030,474765
204226,144096,88007
164887,2043801,281869
189047,5113868,414423
164224,3541028,399621
42208,451850,33081
174909,5439796,399170
266618,15715230,891205
213980,1330219,24328
187395,32794,163882
223256,46471,143128
122695,1023346,73424
154804,100271,237957
257415,11154906,664031
120382,1146283,19365
221953,11946300,703745
210863,6673612,448119
156180,39655,91729
2822,104839,9096
105803,59205,3160
270236,10739666,695973
162934,86069,105734
279786,2325474,164993
87562,24475,95854
174811,107715,84626
239546,304291,505596
251766,11685538,695907
279496,18573320,995460
94144,35726,86416
159339,3831000,336885
117666,45718,43343
240350,9053916,585325
124083,31442,63591
53326,465203,10832
123528,35034,23098
183537,102703,44568
201366,643106,305655
178571,499335,43770
1052,117400,108365
238284,402049,25658
138688,1031224,39425
192681,257629,341502
52448,455957,11515
166336,33224,53598
207359,7248248,477508
66662,19699,206034
89043,246005,22857
2728,54331,967
211514,6943854,541481
146650,3568218,337549
146074,2878406,191112
158276,40755,117457
167976,5787384,412205
142200,2713642,288154
100741,64558,55167
117430,342965,17963
188015,1364430,431801
174881,196176,73649
219480,12250946,630875
158412,3544734,278774
189817,4076916,408221
134923,67736,5745
96588,1981677,114150
123703,45899,80032
27216,195855,38203
282903,98580,245201
6564,325703,1996
185839,5915734,467618
219629,6853934,684107
7782,108171,9545
264287,15303262,880003
167880,26038,185048
276417,224450,190659
187549,7495440,486525
129241,197042,81365
131415,68711,121520
278380,1260944,120026
231317,7530404,698533
163983,6038506,414749
220478,4010848,386825
280758,72014,232524
286951,8080204,536437
259035,5748448,738652
142847,2368669,62368
80109,64553,9554
109728,2213054,168245
54272,462538,35
154432,356154,115383
107380,3009336,210041
265894,85400,33802
193247,5126602,394774
277390,18289752,934384
160106,3957986,284152
111885,12645,175339
26252,67482,36850
204030,7007696,510355
92096,1442571,34179
60007,116118,15691
218477,173725,555168
213950,9027566,495280
277926,3748390,321652
101188,97033,71809
245592,9435162,535736
93172,1117581,71254
