movieId,title,tag_list,tag_counts
182439,The Lord of the G-Strings: The Femaleship of the String,"['female nudity', 'nudity (topless)', 'erotic movie', 'parody', 'softcore']","[1, 1, 1, 1, 1]"
665,Underground,"['yugoslavia', 'emir kusturica', 'world war ii', 'crazy', 'surreal', 'golden palm', 'cynical', 'great music', '1990s', 'too long', 'irreverent', 'magical realism', 'unorthodox', 'favorite', 'odd', 'watch again', '3', 'foreign', 'biting', 'cerebral']","[12, 10, 9, 8, 6, 4, 3, 3, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1]"
202271,The Invisible Witness,[],[]
174679,1 Night,"['relationship problems', 'romance', 'ensemble cast', 'love', 'photography', 'prom night']","[2, 1, 1, 1, 1, 1]"
133745,The Ransom of Red Chief,['children'],[1]
232429,The Dating List,[],[]
107274,"Deep, The (Djúpið)","['overcome obstacles', 'catastrophe', 'based on a true story', 'drowning', 'fisherman', 'hypothermia', 'iceland', 'rescue from drowning', 'shipwreck', 'storm', 'storm at sea', 'struggle for survival', 'icelandic', 'almost lost', '_moodwishlist']","[2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
111854,"X, Y and Zee (Zee and Co.)","['foreign', 'romance', 'wife husband relationship']","[1, 1, 1]"
3728,One False Move,"['interracial/cross-cultural romance', 'atmospheric', 'boring', 'great', 'mtskaf', 'crime gone awry', 'downbeat', 'drug trade', 'gloomy', 'gritty', 'lovers on the lam', 'lovers reunited', 'melancholy', 'poignant', 'redemption', 'tense', '1990s', 'african american', 'arkansas', 'axe']","[3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
113549,Captain Nemo and the Underwater City,"['jules verne', 'underwater']","[1, 1]"
190203,Kaleidoscope,[],[]
2220,"Manxman, The","['abandonment', 'baby', 'best friend', 'bride', 'coastal village', 'deception', 'deemster', 'fisherman', 'guilty conscience', 'isle of man', 'lawyer', 'love triangle', 'marriage', 'moral dilemma', 'public disgrace', 'seafarer', 'secret love', 'silent film', 'unrequited love', 'young wife']","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
182055,Cured Duck,"['daisy duck', 'manners', 'short']","[1, 1, 1]"
138190,The Shift,[],[]
273809,Veneciafrenia,[],[]
187679,The Village of Simpletons,['finland'],[1]
164757,Perfect Match,['wedding'],[1]
256091,In Nowhere Land,[],[]
139998,A tu per tu,['tax inspector'],[1]
218155,Porky's Poppa,[],[]
157361,Tickled,"['investigative journalism', 'crime', 'documentary', 'strange', 'mystery', 'disturbing', 'obsession', 'mafia', 'fetisch', 'magnolia pictures', 'ticling', 'hulu', 'fetish', 'homoeroticism', 'investigation', 'tickling', 'torture']","[7, 4, 4, 4, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
176595,Autumn Lights,"['couple', 'iceland']","[1, 1]"
174235,A Little Princess,[],[]
106072,Thor: The Dark World,"['superhero', 'marvel cinematic universe', 'tom hiddleston', 'comic book', 'visually appealing', 'chris hemsworth', 'marvel', 'natalie portman', 'mcu', 'visually stunning', 'aliens', 'bad science', 'fantasy', 'humorous', 'idris elba', 'watch the credits', 'kat dennings', 'unrealistic', 'humor', 'quirky']","[34, 29, 22, 20, 20, 19, 18, 18, 17, 16, 13, 13, 13, 12, 11, 10, 10, 9, 9, 8]"
160535,Time Again,[],[]
